Foundation,Project,Repository URL,Check Sets,Adopters,Annual Review,Changelog,Code of Conduct,Contributing,Governance,Maintainers,Readme,Roadmap,Summary Table,Website,License Approved,License Scanning,License SPDX ID,Analytics,ArtifactHub Badge,CLA,Community Meeting,DCO,GitHub discussions,OpenSSF best practices badge,OpenSSF Scorecard badge,Recent Release,Slack Presence,Binary Artifacts,Code Review,Dangerous Workflow,Dependency Update Tool,Maintained,SBOM,Security Policy,Signed Releases,Token Permissions,Trademark Disclaimer
cncf,aeraki-mesh,https://github.com/aeraki-mesh/aeraki,"{community,code}",f,t,t,t,t,t,t,t,f,t,t,t,t,Apache-2.0,GA3,f,f,t,t,t,f,f,t,t,t,f,t,t,t,f,t,f,f,t
cncf,akri,https://github.com/project-akri/akri,"{community,code}",t,t,t,t,t,t,t,t,t,f,t,t,f,Apache-2.0,GA4,f,f,t,t,t,t,f,f,t,t,t,t,f,t,f,t,f,f,f
cncf,akri,https://github.com/project-akri/akri-docs,{docs},,,,,,,,t,,,,t,,Apache-2.0,,,,,,,,,,,,,,,,,,,,
cncf,antrea,https://github.com/antrea-io/antrea,"{community,code}",t,f,t,t,t,t,t,t,t,f,t,t,t,Apache-2.0,,f,f,t,t,f,t,f,t,t,t,t,f,t,t,f,t,f,f,t
cncf,argo,https://github.com/argoproj/argo-helm,{code},,,t,,t,,t,t,,,,t,f,Apache-2.0,,t,f,,t,,f,t,t,,t,t,t,f,t,f,t,f,t,
cncf,argo,https://github.com/argoproj/argo-cd,{code},,,t,,t,,t,t,,,,t,t,Apache-2.0,,t,f,,t,,t,t,t,,t,f,t,t,t,t,t,t,t,
cncf,argo,https://github.com/argoproj/argoproj,{community},t,f,,t,t,t,,t,f,t,t,,,"Not detected",GA4,,,t,,f,,,,t,,,,,,,t,,,t
cncf,argo,https://github.com/argoproj/argo-rollouts,{code},,,t,,t,,t,t,,,,t,f,Apache-2.0,,t,f,,t,,t,f,t,,t,t,t,t,t,t,t,t,t,
cncf,argo,https://github.com/argoproj/argo-events,{code},,,t,,t,,t,t,,,,t,f,Apache-2.0,,t,f,,t,,t,f,t,,t,t,t,t,t,t,t,t,t,
cncf,argo,https://github.com/argoproj/argo-site,{docs},,,,,,,,t,,,,t,,MIT,,,,,,,,,,,,,,,,,,,,
