ProjectName, UpdatedAt, Global, BestPractices, Documentation, Legal, License, Security
aeraki-mesh,2023-08,a,77.894737,45.000000,93.333333,100.000000,100.000000,60.000000
aeraki-mesh,2023-07,a,77.894737,45.000000,93.333333,100.000000,100.000000,60.000000
aeraki-mesh,2023-06,a,77.894737,45.000000,93.333333,100.000000,100.000000,60.000000
aeraki-mesh,2023-05,a,75.789474,45.000000,93.333333,100.000000,100.000000,50.000000
aeraki-mesh,2023-04,a,75.789474,45.000000,93.333333,100.000000,100.000000,50.000000
aeraki-mesh,2023-03,b,70.526316,45.000000,93.333333,100.000000,75.000000,50.000000
aeraki-mesh,2023-02,b,58.947368,40.000000,76.666667,0.000000,75.000000,50.000000
aeraki-mesh,2023-01,b,58.947368,40.000000,76.666667,0.000000,75.000000,50.000000
aeraki-mesh,2022-12,b,58.947368,40.000000,76.666667,0.000000,75.000000,50.000000
aeraki-mesh,2022-11,b,58.947368,40.000000,76.666667,0.000000,75.000000,50.000000
aeraki-mesh,2022-10,b,58.947368,40.000000,76.666667,0.000000,75.000000,50.000000
akri,2023-08,a,77.310924,55.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-07,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-06,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-05,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-04,a,81.512605,80.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-03,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-02,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-01,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-12,a,81.666667,75.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-11,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-10,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-08,a,77.310924,55.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-07,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-06,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-05,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-04,a,81.512605,80.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-03,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-02,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-01,a,82.500000,80.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-12,a,81.666667,75.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-11,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2022-10,a,85.000000,95.000000,100.000000,0.000000,85.714286,65.000000
akri,2023-08,a,77.310924,55.000000,97.435897,0.000000,85.714286,65.000000
akri,2023-07,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-06,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-05,a,76.470588,55.000000,94.871795,0.000000,85.714286,65.000000
akri,2023-04,a,81.512605,80.000000,97.435897,0.000000,85.714286,65.000000
